target,model,r2_score,mse
mu,Ridge,0.34060875193426143,1.461579581575647
HOMO,Ridge,0.5506439632391831,0.0002140465232767239
LUMO,Ridge,0.832024097640264,0.0003695201702152461
gap,Ridge,0.782916118597889,0.000483330065518969
