target,model,MSE,R2
mu,SVM,1.0321038373423876,0.5343666222369081
HOMO,SVM,7.549735468325213e-05,0.8415055214770638
LUMO,SVM,9.872773230806516e-05,0.955120501506812
gap,SVM,0.00016408918422779835,0.9263006389432265
