target,model,MSE,R2
mu,TensorFlow_NN,0.7679277395389272,0.6530252351172308
gap,TensorFlow_NN,0.00010742909473045328,0.9519505010928495
LUMO,TensorFlow_NN,7.17666923789846e-05,0.9673873386655735
HOMO,TensorFlow_NN,5.2366312123541314e-05,0.8900265346406351
