target,model,r2_score,mse
mu,RandomForest,0.623827709924187,0.8338080615145597
HOMO,RandomForest,0.8517095372903283,7.063676768850674e-05
LUMO,RandomForest,0.9620360431268749,8.351464471230061e-05
gap,RandomForest,0.9442869227444215,0.00012404331959738155
