target,model,r2_score,mse
mu,XGBoost,0.5884106604607999,0.9123120399752815
HOMO,XGBoost,0.8363297924762573,7.796276453071086e-05
LUMO,XGBoost,0.9525239183353406,0.00010443980077753724
gap,XGBoost,0.9283428084162607,0.00015954236159487246
