target,model,MSE,R2
mu,StackedRegressor,0.8113380162251712,0.6339650650119548
HOMO,StackedRegressor,6.041640949608309e-05,0.8731655253686118
LUMO,StackedRegressor,7.553394328651496e-05,0.9656638979275455
gap,StackedRegressor,0.00011413138996513728,0.9487387876505324
