iter	RMSE
0	0.04405364907
1	0.04140575288
2	0.03899469893
3	0.03683124203
4	0.03491157952
5	0.0331790904
6	0.03166195864
7	0.03032393958
8	0.02911100323
9	0.02799865366
10	0.0270449664
11	0.0261695448
12	0.02541033925
13	0.02472829148
14	0.02412437914
15	0.02355877084
16	0.02308863133
1717	0.02270950351818	0.022290876519	0.02189895722
20	0.02156000294
21	0.02126543598
22	0.02099564086
23	0.02076832944
24	0.02054353575
25	0.02034700205
26	0.02016695638
27	0.02000076488
28	0.01979772829
29	0.0196556386
330	0.01945158535331	0.01930576124332	0.01917669233333	0.01905917003434	0.01895430813535	0.01885888493636	0.01877050537	37	0.01866748938	38	0.01859052939	39	0.01850294040	40	0.01840697941	41	0.01834324642	42	0.01823622543	43	0.01814071944	44	0.01807883745	45	0.01802685446	46	0.0179739274747	0.01791850494848	0.01784924524949	0.01780525775050	0.0177520681551	0.01770461085252	0.01765942235353	0.01761957196
54	0.01758939155	55	0.01753314656	56	0.01748967257	57	0.01745186158	0.01736640127
59	0.01732446136
60	0.01729263645
61	0.01725980828
62	0.01723248289
63	0.01720625708
64	0.0171581504
65	0.01713093618
66	0.01710065653
67	0.01705153642
68	0.01702994171
69	0.01699177262
70	0.01695061457
71	0.0169228418
72	0.01687558528
73	0.0168568958
74	0.01682789545
75	0.01679504541
76	0.01677240021
77	0.01675305085
78	0.01670885804
79	0.01667557446
80	0.01662898647
81	0.01659474358
82	0.0165756151
83	0.01655162696
84	0.0165333225
85	0.01649984751
86	0.01647033571
87	0.01644881916
88	0.01642214277
89	0.01640953816
90	0.01637704862
91	0.0163596797
92	0.01633763148
93	0.01633079759
94	0.01631147377
95	0.01629367447
96	0.01627451849
97	0.01624520377
98	0.01622573107
99	0.01619678633
100	0.01618108046
101	0.01616260835
102	0.01614393566
103	0.01612614476
104	0.01610103383
105	0.01607482846
106	0.01605513101
107	0.01603323732
108	0.01602386582
109	0.01599679724
110	0.01597488718
111	0.01595714114
112	0.01593248298
113	0.01590053913
114	0.01589070685
115	0.01587927218
116	0.01586541006
117	0.01585653458
118	0.01584272687
119	0.01581679996
120	0.01579673858
121	0.01576988559
122	0.01575634048
123	0.01573538555
124	0.01571953958
125	0.01570817699
126	0.01569490117
127	0.01567679045
128	0.01565951811
129	0.01564548181
130	0.01562653499
131	0.01561724055
132	0.0156064028
133	0.01559629257
134	0.01558512834
135	0.01556693318
136	0.01555660419
137	0.0155339934
138	0.01551858606
139	0.01550762502
140	0.015495452
141	0.01548480617
142	0.01546557769
143	0.01545597383
144	0.01544382288
145	0.01542432521
146	0.01540464826
147	0.01539148952
148	0.01537594177
149	0.01536628479
150	0.01535475148
151	0.01534215418
152	0.01531826867
153	0.01530839897
154	0.0152930758
155	0.01527928643
156	0.01526002123
157	0.0152431746
158	0.01522989445
159	0.01522914639
160	0.01521863574
161	0.01521143937
162	0.01519733841
163	0.01518996442
164	0.01518273544
165	0.01517207534
166	0.01517144674
167	0.01515956731
168	0.01514362179
169	0.01512978772
170	0.01511689945
171	0.01510599203
172	0.01509712351
173	0.01509036367
174	0.01507557403
175	0.0150649036
176	0.01505887226
177	0.01504650775
178	0.01503719043
179	0.01502361097
180	0.015010447
181	0.01499060462
182	0.01498124629
183	0.01497333301
184	0.01495389417
185	0.01495229973
186	0.01493896676
187	0.01493092499
188	0.01491939691
189	0.01490579204
190	0.01489356973
191	0.01488343355
192	0.192	0.014924193	0.193	0.014918194	0.194	0.014906195	0.195	0.014893196	0.196	0.01488233949
197	0.01486708687
198	0.01485509031
199	0.01484822996
200	0.01483553049
201	0.01483363693
202	0.01482454276
203	0.01482077296
204	0.01481478154
205	0.01480537054
206	0.01479258692
207	0.01479071372
208	0.0147890482
209	0.01478291936
210	0.01477709831
211	0.01477594204
212	0.01476203913
213	0.0147612296
214	0.01476000628
215	0.01475294587
216	0.01474554339
217	0.01474395601
218	0.01473261258
219	0.01471785192
220	0.01471049283
221	0.01470176097
222	0.01469272268
223	0.0146827166
224	0.01467318016
225	0.01466538617
226	0.01466141914
227	0.01465492768
228	0.01464192728
229	0.01463345925
230	0.01462865859
231	0.0146220904
232	0.0146068104
233	0.0146012116
234	0.0145878526
235	0.01458069614
236	0.01457166831
237	0.01456163995
238	0.01455692927
239	0.01455086546
240	0.01454527472
241	0.0145364266
242	0.01452727689
243	0.01451988651
244	0.0145127926
245	0.01450806838
246	0.01450335259
247	0.01449411857
248	0.01448767086
249	0.01447517518
250	0.01446952091
251	0.01445891655
252	0.01444842573
253	0.01444157396
254	0.01443747731
255	0.01443066897
256	0.01441874308
257	0.01441147275
258	0.01440659779
259	0.01440208783
260	0.0143901041
261	0.01437863858
262	0.01437056242
263	0.01436290644
264	0.01435656118
265	0.01435064954
266	0.0143459267	0267	0.0143392268	0268	0.0143328269	0269	0.0143235270	270	0.01431579271	271	0.01430858272	0.01424379921
273	0.01423678329
274	0.01422939092
275	0.01421996113
276	0.01421972769
277	0.01421140951
278	0.01420580349
279	0.01419626044
280	0.0141902456
281	0.01418395353
282	0.01417812166
283	0.01416592566
284	0.01415966078
285	0.01415399541
286	0.0141537745
287	0.0141480801
288	0.01414185047
289	0.01413599966
290	0.01412887326
291	0.01412637969
292	0.01412102594
293	0.01411542275
294	0.01411122551
295	0.01410497155
296	0.01409632097
297	0.01409028572
298	0.01408465703
299	0.01407290907
300	0.01406427721
301	0.01405965911
302	0.01405444224
303	0.01404676065
304	0.01403600957
305	0.01402983388
306	0.01402206466
307	0.01401439599
308	0.01401417854
309	0.01400391684
310	0.01399753075
311	0.01398949173
312	0.01398031135
313	0.01397678003
314	0.01397648872
315	0.01397274847
316	0.01396603945
317	0.01396003322
318	0.013954824
319	0.01394967622
320	0.01394505956
321	0.013944866
322	0.01393403371
323	0.01393359369
324	0.01392930054
325	0.01392904127
326	0.01392840507
327	0.01392211886
328	0.01391830548
329	0.01391252684
330	0.01390735252
331	0.01390722558
332	0.01390188771
333	0.01389645421
334	0.0138882807
335	0.01388131155
336	0.01387300347
337	0.01386807345
338	0.01386304431
339	0.01385962855
340	0.01385474604
341	0.01385121682
342	0.01384452431
343	0.01383791323
344	0.0138334635
345	0.01383109549
346	0.01382390709
347	0.01381950913
348	0.01381514566
349	0.01380812238
350	0.01380237999
351	0.01379500914
352	0.01379490662
353	0.01379019297
354	0.01378413484
355	0.01378054516
356	0.01377534602
357	0.01376923796
